form,lemma,POS,morph
praecipit,praecipio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
omne,omnis,PROind,Case=Acc|Numb=Sing|Gend=Neut
Polline,pollen,NOMpro,Case=Abl|Numb=Sing
cum,cum3,CONsub,MORPH=empty
tenui,tenuis,ADJqua,Case=Abl|Numb=Sing|Gend=Com|Deg=Pos
quam,quam1,ADVrel,Case=Acc|Gend=Fem
sparsit,spargo2,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
riuus,riuus,NOMcom,Case=Nom|Numb=Sing
oliui,oliuum,NOMcom,Case=Gen|Numb=Sing
Haec,hic1,PROdem,Case=Nom|Numb=Sing|Gend=Fem
diues,diues,ADJqua,Case=Nom|Numb=Sing|Gend=Com|Deg=Pos
offerre,offero,VER,Mood=Inf|Tense=Pres|Voice=Act
potest,possum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sed,sed,CONcoo,MORPH=empty
munera,munus,NOMcom,Case=Nom|Numb=Plur
paruum,paruus2,ADJqua,Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos
Parua,paruus2,ADJqua,Case=Nom|Numb=Plur|Gend=Neut|Deg=Pos
manent,maneo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
namque,namque,CONcoo,MORPH=empty
aut,aut,CONcoo,MORPH=empty
uitulum,uitulus,NOMcom,Case=Acc|Numb=Sing
mactabit,macto,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
ad,ad2,PRE,MORPH=empty
aram,ara,NOMcom,Case=Acc|Numb=Sing
Qui,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Masc
uiget,uigeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
explicito,explico,VER,Numb=Sing|Gend=MascNeut|Mood=Imp|Tense=Fut|Voice=Act
bis,bis,ADJadv.mul,MORPH=empty
senis,senex1,ADJdis,Case=Gen|Numb=Sing|Gend=Com
mensibus,mensis,NOMcom,Case=Abl|Numb=Plur
anno,annus,NOMcom,Case=Abl|Numb=Sing
Et,et2,CONcoo,MORPH=empty
quiddam,quidam,PROind,Case=Nom|Numb=Sing|Gend=Neut
de,de,PRE,MORPH=empty
farre,far,NOMcom,Case=Abl|Numb=Sing
pio,pius,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
quod,qui1,PROrel,Case=Acc|Numb=Sing|Gend=Neut
miscet,misceo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
oliuo,oliuum,NOMcom,Case=Abl|Numb=Sing
Turtures,Turtures,NOMpro,Case=Acc|Numb=Plur
aut,aut,CONcoo,MORPH=empty
geminos,geminus,ADJqua,Case=Acc|Numb=Plur|Gend=Masc|Deg=Pos
similes,similis,ADJqua,Case=Acc|Numb=Plur|Gend=MascFem|Deg=Pos
aut,aut,CONcoo,MORPH=empty
forte,forte,ADV,Deg=Pos
columbas,columba,NOMcom,Case=Acc|Numb=Plur
Quin,quin1,ADV,Deg=Pos
etiam,etiam,ADV,Deg=Pos
somnos,somnus,NOMcom,Case=Acc|Numb=Plur
hominum,homo,NOMcom,Case=Gen|Numb=Plur
quia,quia,CONsub,MORPH=empty
saepe,saepe,ADV,Deg=Pos
uoluptas,uoluptas,NOMcom,Case=Nom|Numb=Sing
Per,per,PRE,MORPH=empty
noctem,nox,NOMcom,Case=Acc|Numb=Sing
deludit,deludo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
iners,iners,ADJqua,Case=Nom|Numb=Sing|Gend=Com|Deg=Pos
si,si2,CONsub,MORPH=empty
forte,forte,ADV,Deg=Pos
ueretro,ueretrum,NOMcom,Case=Abl|Numb=Sing
Semina,semen1,NOMcom,Case=Nom|Numb=Plur
destillant,destillo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
fit,fio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
corpus,corpus,NOMcom,Case=Nom|Numb=Sing
turpe,turpis,ADJqua,Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
iacentum,iaceo,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
Inmundumque,immundus,ADJqua,Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
{Inmundumque},que,CON,MORPH=empty
manet,maneo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
donec,donec,CONsub,MORPH=empty
iam,iam,ADV,Deg=Pos
uesper,Uesper,NOMcom,Case=Nom|Numb=Sing
ab,ab,PRE,MORPH=empty
aethra,aethra,NOMcom,Case=Abl|Numb=Sing
Conspicuus,conspicuus,ADJqua,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
laeto,laetus2,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
praecedat,praecedo1,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
lumine,lumen,NOMcom,Case=Abl|Numb=Sing
noctem,nox,NOMcom,Case=Acc|Numb=Sing
Nec,nec2,CONcoo,MORPH=empty
solum,solum2,ADV,Deg=Pos
foedo,foedus2,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
deturpant,deturpo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
corpora,corpus,NOMcom,Case=Nom|Numb=Plur
naeuo,naeuus,NOMcom,Case=Abl|Numb=Sing
Sed,sed,CONcoo,MORPH=empty
quidquid,quisquis1,PROrel,Case=Nom|Numb=Sing|Gend=Neut
contingit,contingo1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
agens,ago,VER,Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
quem,qui1,PROrel,Case=Acc|Numb=Sing|Gend=Masc
somnia,somnium,NOMcom,Case=Nom|Numb=Plur
fuscant,fusco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Id,is,PROdem,Case=Nom|Numb=Sing|Gend=Neut
propter,propter2,PRE,MORPH=empty
fluuio,fluuius,NOMcom,Case=Dat|Numb=Sing
fas,fas,NOMcom,Case=Ind
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
perfundere,perfundo2,VER,Mood=Inf|Tense=Pres|Voice=Act
membra,membrum,NOMcom,Case=Acc|Numb=Plur
Puritas,puritas,NOMcom,Case=Nom|Numb=Sing
ut,ut4,CONsub,MORPH=empty
redeat,redeo1,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
propere,propere,ADV,Deg=Pos
cessante,cesso,VER,Case=Abl|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
reatu,reatus,NOMcom,Case=Abl|Numb=Sing
Testea,testea,ADJqua,Case=Nom|Numb=Sing
quin,quin1,ADV,Deg=Pos
etiam,etiam,ADV,Deg=Pos
ius,ius1,NOMcom,Case=Nom|Numb=Sing
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
perfringere,perfringo,VER,Mood=Inf|Tense=Pres|Voice=Act
uasa,uas2,NOMcom,Case=Acc|Numb=Plur
Contactu,contactus,NOMcom,Case=Abl|Numb=Sing
maculata,maculo,VER,Case=Acc|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
uiri,uir,NOMcom,Case=Gen|Numb=Sing
at,at2,CONcoo,MORPH=empty
facta,facio,VER,Case=Acc|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
metallo,metallum,NOMcom,Case=Abl|Numb=Sing
Diluere,diluo,VER,Mood=Inf|Tense=Pres|Voice=Act
ac,ac1,CONcoo,MORPH=empty
uitreo,uitreus,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
sordes,sordes,NOMcom,Case=Acc|Numb=Plur
deducere,deduco,VER,Mood=Inf|Tense=Pres|Voice=Act
riuo,riuus,NOMcom,Case=Abl|Numb=Sing
Hac,hic1,PROdem,Case=Abl|Numb=Sing|Gend=Fem
etiam,etiam,ADV,Deg=Pos
liciti,licet1,VER,Case=Nom|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
coitus,coitus,NOMcom,Case=Nom|Numb=Plur
sub,sub,PRE,MORPH=empty
lege,lex,NOMcom,Case=Abl|Numb=Sing
piantur,pio,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
Ilicet,ilicet,ADV,Deg=Pos
exutis,exuo,VER,Case=Abl|Numb=Plur|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass
membrorum,membrum,NOMcom,Case=Gen|Numb=Plur
labe,labes,NOMcom,Case=Abl|Numb=Sing
molesta,molestus,ADJqua,Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
Antistes,Antistes,NOMpro,Case=Nom|Numb=Sing
praestabit,praesto1,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
opem,ops,NOMcom,Case=Acc|Numb=Sing
cum,cum3,CONsub,MORPH=empty
sole,sol,NOMcom,Case=Abl|Numb=Sing
reuerso,reuertor,VER,Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Dep
Septima,septimus,ADJord,Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
puniceis,puniceus,ADJqua,Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
aurora,aurora,NOMcom,Case=Nom|Numb=Sing
eluxerit,eluceo,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
astris,astrum,NOMcom,Case=Abl|Numb=Plur
Turture,Turtur,NOMpro,Case=Abl|Numb=Sing
si,si2,CONsub,MORPH=empty
gemino,geminus,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
ueniat,uenio,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
subnixus,subnitor2,ADJqua,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
ad,ad2,PRE,MORPH=empty
aram,ara,NOMcom,Case=Acc|Numb=Sing
Peccati,peccatum,NOMcom,Case=Gen|Numb=Sing
uotique,uotum,NOMcom,Case=Gen|Numb=Sing
{uotique},que,CON,MORPH=empty
reus,reus,NOMcom,Case=Nom|Numb=Sing
paribusque,par,ADJqua,Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
{paribusque},que,CON,MORPH=empty
columbis,columba,NOMcom,Case=Abl|Numb=Plur
Femina,femina,NOMcom,Case=Nom|Numb=Sing
decurso,decurro,VER,Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass
quae,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Fem
fit,fio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
iam,iam,ADV,Deg=Pos
menstrua,menstruus,ADJqua,Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
mense,mensis,NOMcom,Case=Abl|Numb=Sing
Foedatur,foedo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
sanie,sanies,NOMcom,Case=Abl|Numb=Sing
madida,madidus,ADJqua,Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
quae,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Fem
promitur,promo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
aluo,aluus,NOMcom,Case=Dat|Numb=Sing
Et,et2,CONcoo,MORPH=empty
quidquid,quisquis1,PROrel,Case=Acc|Numb=Sing|Gend=Neut
tangit,tango,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
maculat,maculo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
dum,dum2,CONsub,MORPH=empty
septimus,septimus,ADJord,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
exit,exeo1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Lucifero,Lucifer,ADJqua,Case=Abl|Numb=Sing
redeunte,redeo1,VER,Case=Abl|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
dies,dies,NOMcom,Case=Nom|Numb=Sing
sin,sin,CONsub,MORPH=empty
auctius,aucte,ADV,Deg=Comp
urget,urgeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Vnda,unda,NOMcom,Case=Nom|Numb=Sing
nocens,nocens,ADJqua,Case=Nom|Numb=Sing|Gend=Com|Deg=Pos
certique,certus,ADJqua,Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Pos
{certique},que,CON,MORPH=empty
abscedit,abscedo1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
temporis,tempus1,NOMcom,Case=Gen|Numb=Sing
ordo,ordo,NOMcom,Case=Nom|Numb=Sing
Indiscreta,indiscretus,ADJqua,Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
mali,malum1,NOMcom,Case=Gen|Numb=Sing
facies,facies,NOMcom,Case=Nom|Numb=Sing
idemque,idem,PROdem,Case=Nom|Numb=Sing|Gend=MascNeut
{idemque},que,CON,MORPH=empty
reati,reatus,VER,Case=Gen|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Dep
Finis,finis,NOMcom,Case=Nom|Numb=Sing
erit,sum1,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
sanctam,sanctus,ADJqua,Case=Acc|Numb=Sing|Gend=Fem|Deg=Pos
si,si2,CONsub,MORPH=empty
promat,promo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
munus,munus,NOMcom,Case=Acc|Numb=Sing
ad,ad2,PRE,MORPH=empty
aram,ara,NOMcom,Case=Acc|Numb=Sing
Ex,ex,PRE,MORPH=empty
his,hic1,PROdem,Case=Abl|Numb=Plur|Gend=Com
quas,qui1,PROrel,Case=Acc|Numb=Plur|Gend=Fem
domino,dominus,NOMcom,Case=Dat|Numb=Sing
constat,consto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
placuisse,placeo,VER,Mood=Inf|Tense=Perf|Voice=Act
uolucres,uolucris,NOMcom,Case=Acc|Numb=Plur
Interea,interea,ADV,Deg=Pos
extinctis,exstinguo,VER,Case=Abl|Numb=Plur|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass
merito,merito2,ADJqua,Case=Abl|Gend=MascNeut|Deg=Pos
sub,sub,PRE,MORPH=empty
crimine,crimen,NOMcom,Case=Abl|Numb=Sing
natis,natus1,NOMcom,Case=Abl|Numb=Plur
Aronis,Aron,NOMpro,Case=Gen|Numb=Sing
proceris,procerus,NOMcom,Case=Abl|Numb=Plur|Gend=Com
dominus,dominus,NOMcom,Case=Nom|Numb=Sing
haec,hic1,PROdem,Case=Acc|Numb=Plur|Gend=Fem
intimat,intimo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ingens,ingens,ADJqua,Case=Nom|Numb=Sing|Gend=Com|Deg=Pos
Vt,ut4,CONsub,MORPH=empty
quia,quia,CONsub,MORPH=empty
praetentis,praetendo,VER,Case=Abl|Numb=Plur|Gend=Com
diuisa,diuido,VER,Case=Acc|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
umbracula,umbraculum,NOMcom,Case=Acc|Numb=Plur
uelis,uelum,NOMcom,Case=Abl|Numb=Plur
Altar,altar,NOMcom,Case=Nom|Numb=Sing
habet,habeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sacraque,sacer,NOMcom,Case=Acc|Numb=Sing|Gend=Fem|Deg=Pos
{sacraque},que,CON,MORPH=empty
simul,simul1,ADV,Deg=Pos
praenubitur,praenubio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
arca,arca,NOMcom,Case=Nom|Numb=Sing
Temporibus,tempus1,NOMcom,Case=Abl|Numb=Plur
certis,certus,ADJqua,Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
sese,sui1,PROref,Case=Acc|Numb=Sing
referatque,refero,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
{referatque},que,CON,MORPH=empty
locetque,loco,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
{locetque},que,CON,MORPH=empty
Sacerdos,Sacerdos,NOMcom,Case=Nom|Numb=Sing
pia,pius,ADJqua,Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
uota,uotum,NOMcom,Case=Acc|Numb=Plur
ferens,fero,VER,Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
quia,quia,CONsub,MORPH=empty
sanctus,sanctus,ADJqua,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
ibidem,ibidem,ADV,Deg=Pos
Consistat,consisto,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
dominus,dominus,NOMcom,Case=Nom|Numb=Sing
albenti,albeo,VER,Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Pres|Voice=Act
in,in,PRE,MORPH=empty
nube,nubes,NOMcom,Case=Abl|Numb=Sing
uidendus,uideo,VER,Case=Nom|Numb=Sing|Gend=Masc|Mood=Adj|Voice=Pass
Sic,sic,ADV,Deg=Pos
tamen,tamen,ADV,Deg=Pos
ut,ut4,CONsub,MORPH=empty
uitulum,uitulus,NOMcom,Case=Acc|Numb=Sing
proprio,proprius,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
pro,pro1,PRE,MORPH=empty
crimine,crimen,NOMcom,Case=Abl|Numb=Sing
mactet,macto,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
Proque,pro,PRE,MORPH=empty
{Proque},que,CON,MORPH=empty
synagoga,synagoga,NOMcom,Case=Abl|Numb=Sing
similes,similis,ADJqua,Case=Acc|Numb=Plur|Gend=MascFem|Deg=Pos
mox,mox,ADV,Deg=Pos
immolet,immolo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
hircos,hircus,NOMcom,Case=Acc|Numb=Plur
Sorte,sors,NOMcom,Case=Abl|Numb=Sing
sub,sub,PRE,MORPH=empty
oblata,offero,VER,Case=Abl|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
unus,unus,ADJcar,Case=Nom|Numb=Sing|Gend=Masc
qua,qua1,ADVrel,MORPH=empty
deuius,deuius,ADJqua,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
erret,erro2,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
Peccantum,peccans,NOMcom,Case=Gen|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
delicta,delictum,NOMcom,Case=Acc|Numb=Plur
ferens,fero,VER,Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
secumque,sui,PROref,Case=Abl|Numb=Sing
{secumque},cum3,CON,MORPH=empty
{secumque},que,CON,MORPH=empty
recondens,recondo,VER,Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
Ast,at2,CONcoo,MORPH=empty
alius,alius,PROind,Case=Nom|Numb=Sing|Gend=Masc
placidam,placidus,ADJqua,Case=Acc|Numb=Sing|Gend=Fem|Deg=Pos
ut,ut4,CONsub,MORPH=empty
domino,dominus,NOMcom,Case=Dat|Numb=Sing
mactetur,macto,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
ad,ad2,PRE,MORPH=empty
aram,ara,NOMcom,Case=Acc|Numb=Sing
Optima,bonus,ADJqua,Case=Acc|Numb=Sing|Gend=Neut|Deg=Sup
siderei,sidereus,ADJqua,Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Pos
laturus,fero,VER,Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Fut|Voice=Act
commoda,commodum1,NOMcom,Case=Acc|Numb=Sing
doni,donum,NOMcom,Case=Gen|Numb=Sing
Bestia,Bestia,ADJqua,Case=Nom|Numb=Sing
uel,uel2,CONcoo,MORPH=empty
uolucris,uolucris,NOMcom,Case=Nom|Numb=Sing|Deg=Pos
nullo,nullus,PROind,Case=Abl|Numb=Sing|Gend=MascNeut
quae,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Fem
sanguine,sanguis,NOMcom,Case=Abl|Numb=Sing
fuso,fusus2,VER,Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass
Functa,fungor,VER,Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Dep
fuit,sum1,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
nullis,nullus,PROind,Case=Abl|Numb=Plur|Gend=Com
prandentum,prandeo,NOMcom,Case=Gen|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
congrua,congruo,NOMcom,Case=Nom|Numb=Sing|Gend=Fem
mensis,mensa,NOMcom,Case=Abl|Numb=Plur
Idcirco,idcirco,ADV,Deg=Pos
quoniam,quoniam,CONsub,MORPH=empty
multorum,multi,ADJqua,Case=Gen|Numb=Plur|Gend=MascNeut|Deg=Pos
in,in,PRE,MORPH=empty
sanguine,sanguis,NOMcom,Case=Abl|Numb=Sing
mens,mens,NOMcom,Case=Nom|Numb=Sing
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Atque,atque1,CONcoo,MORPH=empty
etiam,etiam,ADV,Deg=Pos
si,si2,CONsub,MORPH=empty
forte,forte,ADV,Deg=Pos
pecus,pecus1,NOMcom,Case=Nom|Numb=Sing
mucrone,mucro,NOMcom,Case=Abl|Numb=Sing
peremptum,perimo,VER,Case=Nom|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
Laxarit,laxo,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
croceam,croceus,ADJqua,Case=Acc|Numb=Sing|Gend=Fem|Deg=Pos
sectis,seco,VER,Case=Abl|Numb=Plur|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass
de,de,PRE,MORPH=empty
faucibus,faux,NOMcom,Case=Abl|Numb=Plur
undam,unda,NOMcom,Case=Acc|Numb=Sing
Debet,debeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
terra,terra,NOMcom,Case=Nom|Numb=Sing
tegi,tego,VER,Mood=Inf|Tense=Pres|Voice=Pass
ne,ne4,CONsub,MORPH=empty
sit,sum1,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
non,non,ADVneg,MORPH=empty
condita,condo,VER,Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
fraudi,fraus,NOMcom,Case=Dat|Numb=Sing
Instruit,instruo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
hinc,hinc,ADV,Deg=Pos
dominus,dominus,NOMcom,Case=Nom|Numb=Sing
quae,quis1,PROrel,Case=Nom|Numb=Plur|Gend=Neut
sint,sum1,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
consortia,consortium,NOMcom,Case=Nom|Numb=Plur|Gend=Neut|Deg=Pos
noxae,noxa,NOMcom,Case=Gen|Numb=Plur
Quaeue,quis,PROrel,Case=Nom|Numb=Plur|Gend=Neut
{Quaeue},ue,CON,MORPH=empty
iuuent,iuuo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
parili,parilis,ADJqua,Case=Abl|Numb=Sing|Gend=Com|Deg=Pos
concordia,concordia,NOMcom,Case=Acc|Numb=Plur|Gend=Neut
pectora,pectus,NOMcom,Case=Nom|Numb=Plur
nexu,nexus,NOMcom,Case=Abl|Numb=Sing
Quae,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Neut
certis,certus,ADJqua,Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
digesta,digero,VER,Case=Nom|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
modis,modus,NOMcom,Case=Abl|Numb=Plur
hic,hic1,PROdem,Case=Nom
explicat,explico,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ordo,ordo,NOMcom,Case=Nom|Numb=Sing
Inprimis,imprimis,ADV,Deg=Pos
genetrix,genetrix,NOMcom,Case=Nom|Numb=Sing
cubili,cubile,NOMcom,Case=Abl|Numb=Sing
accommoda,accommodus,NOMcom,Case=Nom|Numb=Sing
non,non,ADVneg,MORPH=empty
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
In,in,PRE,MORPH=empty
quo,qui1,PROrel,Case=Abl|Numb=Sing|Gend=MascNeut
nupta,nupta,NOMcom,Case=Nom|Numb=Sing
iacet,iaceo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
nullumque,nullus,PROind,Case=Nom|Numb=Sing|Gend=MascNeut
{nullumque},que,CON,MORPH=empty
agnouerit,agnosco,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
usum,usus,NOMcom,Case=Acc|Numb=Sing
Excepta,excipio,VER,Case=Abl|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
pietate,pietas,NOMcom,Case=Abl|Numb=Sing
sui,sui2,PROpos.ref,Case=Gen|Numb=Sing
mens,mens,NOMcom,Case=Nom|Numb=Sing
sedula,sedulus,ADJqua,Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
nati,nascor,NOMcom,Case=Gen|Numb=Plur|Mood=Par|Tense=Perf|Voice=Dep
Vt,ut4,CONsub,MORPH=empty
quae,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Fem
paternis,paternus,ADJqua,Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
nonnumquam,nonnumquam,ADV,Deg=Pos
amplexibus,amplexus,NOMcom,Case=Abl|Numb=Plur
haesit,haereo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Hoc,hic1,PROdem,Case=Abl|Numb=Sing|Gend=MascNeut
germana,germana,NOMcom,Case=Voc|Numb=Sing|Gend=Neut
modo,modo1,NOMcom,MORPH=empty
eadem,idem,PROdem,Case=Abl|Numb=Sing|Gend=Fem
de,de,PRE,MORPH=empty
matre,mater,NOMcom,Case=Abl|Numb=Sing
creata,creo,VER,Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
Aut,aut,CONcoo,MORPH=empty
neptis,neptis,NOMcom,Case=Gen|Numb=Sing
suscepta,suscipio,VER,Case=Abl|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
tibi,tu,PROper,Case=Dat|Numb=Sing
natoue,natus,NOMcom,Case=Abl|Numb=Sing
{natoue},ue,CON,MORPH=empty
nataeue,nata,NOMcom,Case=Gen|Numb=Sing|Gend=Fem
{nataeue},ue,CON,MORPH=empty
Non,non,ADVneg,MORPH=empty
amita,amita,NOMcom,Case=Nom|Numb=Sing
affectu,affectus1,NOMcom,Case=Abl|Numb=Sing
nec,nec2,CONcoo,MORPH=empty
sit,sum1,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
matertera,matertera,NOMcom,Case=Nom|Numb=Sing
foedo,foedus2,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
